category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Large Town,Dublin,Lusk,0.72,0.8333333333333334,0.86,0.72,0.7,0.9,0.32,0.5555555555555556,0,0,0,0.6723404255319149,0.68,0.68,0.68,0.63,0.69,0.68,0.68,0.68,0.68,0.68
Village,Cork,Milford,0.78,0.7166666666666667,0.88,0.62,0.66,0.78,0.3,0.7111111111111111,0,0,1,0.6723404255319149,0.67,0.67,0.67,0.62,0.68,0.67,0.67,0.66,0.67,0.67
Large Urban Centre,Laois,Portlaoise,0.7,0.7666666666666667,0.94,0.54,0.7,0.9,0.38,0.6111111111111112,1,0,0,0.6723404255319149,0.67,0.67,0.67,0.63,0.68,0.67,0.67,0.66,0.67,0.67
Village,Westmeath,Glasson,0.8,0.6833333333333333,0.84,0.68,0.7,0.86,0.22,0.6777777777777778,0,0,1,0.6702127659574468,0.67,0.67,0.67,0.62,0.66,0.67,0.67,0.66,0.67,0.67
Village,Roscommon,Croghan,0.76,0.6833333333333333,0.9,0.52,0.6,0.84,0.36,0.7888888888888889,0,0,1,0.6702127659574468,0.68,0.67,0.68,0.62,0.68,0.67,0.67,0.66,0.67,0.67
Village,Cork,Ballinadee,0.74,0.65,0.86,0.58,0.72,0.82,0.34,0.7555555555555555,0,0,1,0.6702127659574468,0.67,0.67,0.67,0.62,0.67,0.66,0.66,0.65,0.67,0.67
Village,Limerick,Broadford,0.62,0.7166666666666667,0.88,0.76,0.66,0.86,0.4,0.6444444444444445,0,0,1,0.6702127659574468,0.67,0.67,0.67,0.62,0.66,0.67,0.67,0.68,0.67,0.67
Village,Kerry,Glenbeigh,0.72,0.75,0.86,0.62,0.66,0.8,0.46,0.6222222222222222,0,0,1,0.6702127659574468,0.67,0.67,0.67,0.62,0.66,0.66,0.66,0.66,0.67,0.67
Small Town,Louth,Dunleer,0.76,0.8,0.82,0.54,0.68,0.88,0.28,0.6777777777777778,0,1,0,0.6702127659574468,0.67,0.67,0.67,0.63,0.67,0.67,0.67,0.66,0.67,0.67
Village,Meath,Julianstown,0.64,0.7833333333333333,0.88,0.74,0.78,0.72,0.38,0.6,0,0,1,0.6702127659574468,0.67,0.67,0.67,0.62,0.67,0.67,0.67,0.66,0.67,0.67
Village,Offaly,Ballycumber,0.78,0.8333333333333334,0.9,0.56,0.6,0.84,0.38,0.6333333333333333,0,0,1,0.6702127659574468,0.68,0.68,0.68,0.62,0.67,0.67,0.67,0.68,0.67,0.67
Small Town,Kerry,Castleisland,0.7,0.8,0.8,0.66,0.68,0.86,0.42,0.6111111111111112,0,1,0,0.6702127659574468,0.67,0.67,0.67,0.63,0.68,0.67,0.67,0.66,0.68,0.68
Small Town,Clare,Newmarket-On-Fergus,0.72,0.6833333333333333,0.94,0.6,0.66,0.88,0.36,0.6333333333333333,0,1,0,0.6702127659574468,0.67,0.67,0.67,0.63,0.66,0.67,0.67,0.66,0.67,0.67
Village,Cork,Newcestown,0.8,0.6833333333333333,0.9,0.44,0.62,0.88,0.28,0.7888888888888889,0,0,1,0.6702127659574468,0.67,0.67,0.67,0.62,0.68,0.67,0.67,0.65,0.67,0.67
Village,Wexford,Foulksmills,0.74,0.7333333333333333,0.92,0.5,0.68,0.84,0.26,0.7111111111111111,0,0,1,0.6702127659574468,0.66,0.66,0.66,0.62,0.68,0.67,0.67,0.65,0.67,0.67
Village,Galway,Clarinbridge,0.72,0.6833333333333333,0.82,0.72,0.68,0.82,0.36,0.6888888888888889,0,0,1,0.6702127659574468,0.67,0.67,0.67,0.62,0.66,0.67,0.67,0.66,0.67,0.67
Small Town,Leitrim,Ballinamore,0.76,0.7666666666666667,0.92,0.68,0.6,0.76,0.5,0.5777777777777777,0,1,0,0.6680851063829787,0.67,0.67,0.67,0.63,0.66,0.67,0.67,0.68,0.68,0.68
Small Town,Kerry,Killorglin,0.66,0.8333333333333334,0.82,0.66,0.66,0.82,0.44,0.6333333333333333,0,1,0,0.6680851063829787,0.67,0.67,0.67,0.63,0.68,0.67,0.67,0.68,0.68,0.68
Village,Donegal,Ballyliffin,0.74,0.7333333333333333,0.84,0.58,0.7,0.8,0.32,0.6666666666666666,0,0,1,0.6680851063829787,0.66,0.66,0.66,0.62,0.66,0.66,0.66,0.65,0.66,0.66
Village,Kerry,Beaufort,0.72,0.7166666666666667,0.72,0.7,0.72,0.76,0.44,0.6888888888888889,0,0,1,0.6680851063829787,0.67,0.66,0.67,0.62,0.66,0.66,0.66,0.64,0.66,0.66
Village,Clare,Doonbeg,0.66,0.7666666666666667,0.9,0.74,0.62,0.84,0.3,0.6666666666666666,0,0,1,0.6680851063829787,0.67,0.67,0.67,0.62,0.68,0.68,0.68,0.67,0.68,0.68
