category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,date_dn_Mo,date_dn_Sa,date_dn_Su,date_dn_Th,date_dn_Tu,date_dn_We,date_month_Jul,date_month_Jun,date_month_May,date_month_Nov,category_B,category_C,category_D,category_E,category_F,category_G,category_H,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_knn,pred_svr,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Donegal,Loch An Iuir,0.84,0.75,0.92,0.62,0.64,0.72,0.3,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,310.0,312.58,312.7,312.58,308.49,310.0,313.12,310.0,313.05,312.24,313.41,310.18,310.18
Large Town,Galway,Athenry,0.66,0.7833333333333333,0.82,0.74,0.68,0.84,0.44,0.5333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,310.0,312.05,311.9,312.05,308.64,310.0,310.87,297.0,309.92,309.08,314.65,312.35,312.35
Village,Tipperary,Marlfield,0.68,0.7666666666666667,0.82,0.78,0.74,0.78,0.24,0.6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,310.0,308.2,308.2,308.21,309.53,310.0,309.77,310.0,309.49,309.21,307.84,310.11,310.11
Village,Louth,Castlebellingham,0.72,0.85,0.8,0.52,0.72,0.8,0.34,0.6555555555555556,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,310.0,311.58,311.62,311.53,296.27,310.0,311.81,308.0,309.48,309.7,306.1,312.76,312.76
Small Town,Wicklow,Ashford,0.6,0.7,0.9,0.6,0.64,0.86,0.44,0.5888888888888889,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,310.0,307.23,307.04,307.25,306.39,310.0,309.77,297.0,306.78,306.8,306.21,305.83,305.83
Village,Carlow,Ardattin,0.8,0.7,0.84,0.54,0.68,0.82,0.26,0.7222222222222222,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,310.0,311.2,311.04,311.16,297.4,310.0,311.91,314.0,309.85,309.57,304.63,309.16,309.16
Village,Mayo,Ballycastle,0.72,0.6833333333333333,0.76,0.58,0.68,0.86,0.34,0.7111111111111111,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,310.0,308.46,308.31,308.4,292.7,310.0,307.61,301.0,307.35,307.62,302.31,306.51,306.51
Small Town,Sligo,Enniscrone,0.74,0.7333333333333333,0.84,0.58,0.7,0.78,0.24,0.7222222222222222,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,309.0,309.02,308.83,308.98,299.8,323.3,306.08,299.0,307.42,306.59,304.61,310.77,310.77
Small Town,Limerick,Askeaton,0.64,0.7333333333333333,0.88,0.7,0.68,0.8,0.36,0.6222222222222222,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,309.0,309.77,309.73,309.77,309.96,309.0,308.41,313.0,310.33,310.15,313.06,311.37,311.37
Village,Longford,Cullyfad,0.7,0.5666666666666667,0.9,0.74,0.62,0.74,0.28,0.7111111111111111,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,309.0,303.45,303.54,303.46,308.89,305.0,304.83,303.0,309.51,309.24,298.2,304.68,304.68
Village,Tipperary,Grange,0.7,0.7666666666666667,0.74,0.64,0.62,0.72,0.32,0.7111111111111111,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,309.0,303.29,303.26,303.25,294.25,310.31,304.56,303.0,298.75,298.46,298.35,299.76,299.76
Small Town,Louth,Tullyallen,0.78,0.85,0.78,0.5,0.7,0.78,0.28,0.6555555555555556,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,309.0,307.93,307.75,307.89,293.18,309.0,306.89,308.0,307.93,308.24,302.75,306.79,306.79
Village,Wexford,Kilanerin,0.72,0.8166666666666667,0.78,0.48,0.74,0.78,0.22,0.7222222222222222,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,309.0,306.15,305.95,306.08,291.29,306.38,304.79,299.0,303.74,303.76,302.31,303.38,303.11
Small Town,Westmeath,Castlepollard,0.78,0.7,0.84,0.66,0.54,0.9,0.26,0.6777777777777778,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,309.0,310.12,310.09,310.12,304.91,309.0,308.77,315.0,311.09,310.87,309.98,310.74,310.74
Village,Wicklow,Roundwood,0.76,0.7166666666666667,0.68,0.6,0.66,0.78,0.32,0.6888888888888889,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,309.0,305.51,305.07,305.46,286.49,309.0,301.97,303.0,305.1,305.55,298.35,303.81,303.81
Village,Cork,Baltimore,0.64,0.8166666666666667,0.9,0.56,0.6,0.78,0.32,0.6777777777777778,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,309.0,306.3,306.39,306.3,306.03,309.0,306.43,308.0,307.22,308.08,306.79,307.29,307.29
Village,Carlow,Rathvilly,0.68,0.8,0.82,0.5,0.78,0.8,0.26,0.6888888888888889,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,309.0,308.47,308.31,308.41,295.72,309.0,310.27,308.0,306.5,307.1,303.5,308.12,308.12
Village,Tipperary,Upperchurch,0.64,0.6333333333333333,0.82,0.7,0.74,0.88,0.28,0.7111111111111111,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,309.0,311.46,311.47,311.43,303.37,309.0,309.23,310.0,308.98,308.45,299.44,310.53,310.53
Village,Roscommon,Lisacul,0.66,0.7166666666666667,0.84,0.78,0.54,0.72,0.42,0.7111111111111111,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,309.0,311.21,311.27,311.2,309.2,309.0,310.99,308.0,308.31,308.36,312.82,308.75,308.75
Village,Kildare,Johnstown,0.8,0.75,0.82,0.66,0.76,0.8,0.24,0.6333333333333333,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,309.0,313.02,312.91,313.01,303.0,309.0,312.05,326.0,312.33,312.9,311.1,313.5,313.5
Village,Kilkenny,Gathabawn,0.68,0.7,0.74,0.74,0.68,0.76,0.34,0.6888888888888889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,309.0,306.19,306.22,306.16,298.49,309.0,307.37,309.0,307.9,307.64,302.31,307.01,307.01
Village,Cork,Sallybrook,0.7,0.6666666666666666,0.84,0.72,0.62,0.74,0.32,0.7444444444444445,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,308.0,310.24,310.24,310.22,305.05,308.0,307.88,308.0,307.41,306.89,302.64,308.46,308.46
Village,Clare,Kildysart,0.74,0.6666666666666666,0.78,0.48,0.7,0.92,0.32,0.6888888888888889,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,308.0,306.75,306.57,306.7,289.54,308.0,307.49,315.0,306.1,306.11,301.61,306.5,306.5
Small Town,Mayo,Kiltimagh,0.6,0.6833333333333333,0.86,0.78,0.6,0.86,0.28,0.6777777777777778,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,308.0,307.55,307.73,307.56,312.08,325.04,305.97,303.0,306.86,306.54,309.12,307.81,307.81
Village,Mayo,Kilkeeran,0.64,0.6833333333333333,0.82,0.7,0.64,0.74,0.36,0.7222222222222222,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,308.0,306.21,306.26,306.19,302.65,308.0,307.77,308.0,307.5,307.23,309.98,309.34,309.34
Village,Tipperary,Bansha,0.72,0.8,0.84,0.56,0.68,0.72,0.26,0.6111111111111112,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,308.0,301.6,301.42,301.61,299.54,308.0,306.93,308.0,303.75,305.68,300.4,297.0,297.0
Village,Louth,Stabannon,0.72,0.75,0.76,0.7,0.7,0.82,0.3,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,308.0,310.4,310.6,310.37,300.18,308.0,311.99,309.0,307.77,307.58,304.61,308.6,308.6
Village,Tipperary,Ballingarry (North),0.88,0.5833333333333334,0.94,0.52,0.74,0.64,0.26,0.7666666666666667,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,308.0,308.02,307.85,307.99,299.68,308.0,307.77,310.0,302.51,303.03,295.16,307.11,307.11
Village,Mayo,Bonniconlon,0.68,0.7,0.88,0.56,0.64,0.84,0.28,0.7444444444444445,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,308.0,309.57,309.58,309.55,302.24,308.0,310.0,308.0,308.28,308.15,305.36,309.11,309.11
Village,Mayo,Louisburgh,0.68,0.8,0.74,0.66,0.6,0.86,0.34,0.6555555555555556,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,308.0,308.79,308.76,308.77,298.09,308.0,307.44,303.0,306.88,306.43,303.95,308.7,308.7
Large Town,Galway,Ballinasloe,0.66,0.7166666666666667,0.9,0.72,0.7,0.8,0.4,0.5666666666666667,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,308.0,310.47,310.29,310.48,312.36,308.0,308.75,303.0,309.34,308.98,317.85,308.48,308.48
Small Town,Mayo,Crossmolina,0.76,0.6666666666666666,0.74,0.7,0.58,0.72,0.42,0.7111111111111111,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,308.0,307.21,306.94,307.16,294.98,308.0,308.23,309.0,304.98,304.72,299.97,306.46,306.46
Small Town,Dublin,Foxrock,0.68,0.7166666666666667,0.78,0.5,0.72,0.78,0.4,0.7111111111111111,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,308.0,306.68,306.42,306.6,289.89,308.0,306.82,308.0,306.07,307.02,304.63,306.44,306.44
Village,Laois,Cullohill,0.78,0.5666666666666667,0.86,0.68,0.68,0.72,0.38,0.6555555555555556,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,308.0,304.52,304.47,304.52,301.92,308.0,304.76,313.0,309.12,308.76,299.81,306.96,306.96
Village,Tipperary,Drangan,0.7,0.8333333333333334,0.88,0.48,0.6,0.86,0.28,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,308.0,309.44,309.6,309.43,301.55,317.83,310.7,315.0,312.97,314.45,305.92,309.98,309.72
Village,Leitrim,Mohill,0.68,0.75,0.82,0.54,0.62,0.86,0.46,0.6333333333333333,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,308.0,308.51,308.5,308.49,297.45,308.0,307.66,308.0,305.82,305.46,304.33,305.06,305.06
Small Town,Limerick,Croom,0.7,0.7333333333333333,0.82,0.7,0.72,0.8,0.36,0.6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,308.0,309.68,309.56,309.67,304.72,308.0,307.21,310.0,309.2,308.2,308.56,310.35,310.35
Village,Westmeath,Multyfarnham,0.74,0.7,0.86,0.54,0.62,0.88,0.26,0.6666666666666666,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,308.0,304.16,304.17,304.17,299.98,290.69,303.94,315.0,306.62,306.7,304.61,305.87,305.87
Village,Cavan,Lough Gowna,0.7,0.7333333333333333,0.82,0.62,0.68,0.78,0.3,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,308.0,307.84,307.88,307.82,300.18,308.0,308.23,308.0,307.84,307.45,308.22,306.94,306.94
Village,Donegal,Doochary,0.72,0.6833333333333333,0.84,0.56,0.7,0.82,0.36,0.7222222222222222,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,308.0,312.82,312.72,312.78,298.06,308.0,311.28,308.0,308.96,309.37,306.1,312.06,312.06
Village,Kildare,Kilmead,0.7,0.9166666666666666,0.9,0.66,0.58,0.74,0.3,0.6222222222222222,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,308.0,311.91,312.04,311.93,313.26,308.0,309.68,313.0,310.97,310.52,310.82,308.05,308.05
Village,Waterford,Fenor,0.7,0.7333333333333333,0.74,0.88,0.5,0.76,0.3,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,308.0,304.56,304.9,304.58,306.77,308.0,306.73,309.0,305.64,305.6,302.07,305.66,305.66
Village,Laois,Killenard,0.68,0.6,0.9,0.58,0.76,0.74,0.44,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,308.0,307.01,306.85,306.98,301.19,308.0,308.26,308.0,303.92,303.23,298.14,304.79,304.79
Village,Offaly,Crinkill,0.78,0.8,0.82,0.58,0.74,0.8,0.38,0.5111111111111111,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,307.0,306.67,306.69,306.69,299.98,307.0,306.29,297.0,306.26,305.52,308.44,306.01,306.01
Village,Waterford,Clashmore,0.68,0.7,0.8,0.68,0.58,0.8,0.3,0.7111111111111111,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,307.0,304.55,304.65,304.53,301.09,307.0,306.17,308.0,306.57,306.53,307.84,305.9,305.9
Village,Longford,Newtownforbes,0.72,0.75,0.8,0.44,0.7,0.92,0.38,0.6333333333333333,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,307.0,307.96,307.85,307.92,291.21,307.0,307.23,308.0,306.28,306.58,303.27,306.39,306.39
Village,Kerry,Waterville,0.64,0.7166666666666667,0.8,0.52,0.68,0.78,0.46,0.7222222222222222,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,307.0,309.13,308.87,309.05,292.7,307.0,306.77,308.0,305.92,305.98,305.92,307.44,307.44
Village,Wicklow,Knockananna,0.62,0.7,0.82,0.5,0.66,0.86,0.36,0.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,307.0,306.18,305.96,306.15,294.08,307.0,306.77,315.0,306.2,305.65,304.86,306.02,306.02
Large Town,Dublin,Terenure,0.74,0.7166666666666667,0.74,0.72,0.72,0.8,0.28,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,307.0,303.8,303.58,303.78,298.39,307.0,306.77,292.5,304.19,303.51,301.57,306.77,306.77
Village,Louth,Grange,0.74,0.7833333333333333,0.82,0.6,0.66,0.86,0.28,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,307.0,305.86,306.03,305.88,301.47,307.0,305.76,308.0,307.87,306.99,305.56,308.29,308.29
Village,Galway,Caltra,0.76,0.65,0.84,0.62,0.66,0.78,0.34,0.6888888888888889,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,307.0,307.88,307.85,307.87,299.87,307.0,307.43,304.0,306.96,306.68,302.31,306.22,306.22
Small Town,Longford,Lanesborough,0.66,0.65,0.74,0.66,0.74,0.76,0.34,0.6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,307.0,295.7,295.53,295.68,293.0,307.0,296.18,301.0,301.57,300.33,293.81,299.5,299.5
Small Town,Wexford,Ferns,0.68,0.85,0.8,0.62,0.66,0.8,0.32,0.5666666666666667,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,307.0,303.87,303.87,303.87,301.59,307.0,306.77,297.0,305.91,306.0,306.21,304.27,304.27
Village,Limerick,Mountcollins,0.62,0.65,0.84,0.78,0.6,0.78,0.42,0.6555555555555556,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,306.0,306.76,306.77,306.77,308.39,306.0,306.23,304.0,305.26,304.73,301.17,305.47,305.47
Village,Limerick,Bruff,0.64,0.7666666666666667,0.84,0.74,0.62,0.74,0.36,0.6333333333333333,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,306.0,306.7,306.7,306.71,308.58,312.36,308.31,304.0,310.11,308.76,309.83,305.96,305.96
Small Town,Monaghan,Castleblayney,0.7,0.6833333333333333,0.74,0.72,0.64,0.9,0.42,0.5888888888888889,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,306.0,307.7,307.65,307.7,298.96,284.68,304.9,305.0,301.85,301.73,302.47,304.44,304.44
Large Town,Tipperary,Thurles,0.64,0.6666666666666666,0.8,0.68,0.74,0.86,0.34,0.6111111111111112,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,306.0,305.55,305.31,305.53,301.1,319.54,305.27,310.0,306.88,306.62,303.27,306.79,306.79
Village,Sligo,Mullaghmore,0.78,0.6666666666666666,0.92,0.62,0.6,0.84,0.24,0.6666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,306.0,305.96,306.2,306.0,308.1,306.0,307.4,291.5,307.53,306.44,308.66,307.84,307.84
Village,Limerick,Doon,0.7,0.7,0.76,0.7,0.72,0.84,0.32,0.6222222222222222,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,305.0,306.76,306.84,306.74,299.22,305.0,307.69,305.0,304.1,304.23,301.27,304.76,304.76
Large Urban Centre,Cork,Douglas,0.62,0.7333333333333333,0.86,0.76,0.7,0.82,0.34,0.5444444444444444,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,305.0,304.05,304.1,304.09,311.69,305.0,305.23,313.0,305.66,305.61,308.22,305.51,305.51
Village,Cork,Ladysbridge,0.68,0.7166666666666667,0.8,0.58,0.68,0.84,0.36,0.6666666666666666,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,305.0,306.41,306.35,306.38,296.73,305.0,305.7,308.0,305.09,304.88,305.92,305.63,305.63
Village,Galway,Ballygar,0.66,0.6833333333333333,0.8,0.64,0.6,0.8,0.44,0.6444444444444445,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,305.0,303.27,303.25,303.26,298.55,305.0,302.17,304.0,305.42,304.61,309.83,305.84,305.84
Small Town,Tipperary,Tipperary,0.7,0.8666666666666667,0.74,0.78,0.52,0.84,0.38,0.5444444444444444,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,305.0,310.39,310.28,310.44,305.85,305.0,305.23,305.0,303.74,303.36,303.27,304.39,304.39
Small Town,Offaly,Daingean,0.74,0.75,0.86,0.62,0.76,0.78,0.38,0.5222222222222223,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,305.0,305.5,305.64,305.52,304.08,296.9,306.0,313.0,309.42,309.94,311.85,307.31,307.31
Village,Clare,Corofin,0.74,0.65,0.84,0.58,0.76,0.76,0.32,0.6222222222222222,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,305.0,301.38,301.43,301.37,297.46,305.0,301.98,304.0,301.14,300.71,295.32,298.23,298.23
Village,Wicklow,Avoca,0.68,0.6833333333333333,0.84,0.52,0.72,0.82,0.3,0.7222222222222222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,305.0,309.25,309.02,309.2,295.93,305.0,305.56,308.0,305.13,305.38,302.7,307.1,307.1
Village,Cork,Kilcrohane,0.76,0.7166666666666667,0.8,0.52,0.62,0.8,0.26,0.7222222222222222,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,305.0,302.99,303.0,302.97,292.98,305.0,304.57,314.0,306.21,305.97,303.5,306.68,306.68
Village,Tipperary,Newcastle,0.78,0.8,0.84,0.52,0.66,0.76,0.26,0.6777777777777778,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,305.0,306.84,306.74,306.81,297.97,305.0,306.26,310.0,306.7,306.56,304.51,306.55,306.55
Village,Mayo,Kilmaine,0.68,0.6333333333333333,0.72,0.8,0.56,0.72,0.38,0.7222222222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,305.29,305.07,305.27,297.74,272.44,305.85,285.0,294.87,294.17,291.24,295.34,295.8
Village,Limerick,Anglesborough,0.62,0.7166666666666667,0.82,0.66,0.64,0.84,0.32,0.6777777777777778,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,304.0,304.88,305.04,304.87,302.74,304.0,305.17,304.0,305.87,305.46,308.22,306.69,306.69
Small Town,Offaly,Ferbane,0.7,0.8,0.76,0.68,0.76,0.82,0.34,0.5222222222222223,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,304.0,305.65,305.62,305.65,300.34,304.48,307.03,305.0,300.45,300.26,302.64,300.82,300.82
Village,Monaghan,Ballinode,0.68,0.6666666666666666,0.8,0.68,0.78,0.78,0.34,0.6333333333333333,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,304.0,306.89,306.71,306.87,299.99,315.0,305.83,310.0,304.92,304.88,303.71,305.69,305.69
Village,Wexford,Ballymurn,0.7,0.6666666666666666,0.76,0.54,0.72,0.8,0.3,0.7333333333333333,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,304.0,304.49,304.2,304.43,289.32,283.47,302.79,301.0,299.42,299.14,298.46,303.47,303.47
Village,Westmeath,Collinstown,0.78,0.6833333333333333,0.8,0.62,0.72,0.82,0.22,0.6222222222222222,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,304.0,302.1,302.03,302.09,297.76,295.29,305.24,304.0,302.95,302.28,306.21,306.69,306.69
Village,Roscommon,Roosky,0.74,0.5833333333333334,0.88,0.58,0.6,0.78,0.4,0.7222222222222222,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,304.0,306.52,306.37,306.5,299.59,304.0,304.23,304.0,304.65,304.11,300.43,306.99,306.99
Village,Westmeath,Rosemount,0.76,0.75,0.9,0.48,0.64,0.74,0.3,0.6555555555555556,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,304.0,300.65,300.82,300.66,299.56,304.0,301.98,313.0,305.61,304.8,304.33,300.81,300.81
Village,Leitrim,Fenagh,0.86,0.7,0.74,0.48,0.66,0.76,0.4,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,304.0,303.72,303.63,303.68,284.64,304.0,304.23,301.0,299.79,299.62,301.61,303.33,303.33
Village,Tipperary,Clonmore,0.64,0.7,0.84,0.58,0.76,0.84,0.34,0.6333333333333333,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,304.0,305.88,305.91,305.87,299.81,304.0,303.77,304.0,302.46,302.4,302.47,301.55,301.55
Village,Wexford,Kilmuckridge,0.66,0.8333333333333334,0.84,0.6,0.66,0.84,0.28,0.6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,304.0,306.04,306.12,306.05,304.17,304.0,306.05,294.0,303.67,303.19,304.33,303.17,303.17
Village,Westmeath,Raharney/Ráth Áirne,0.66,0.6833333333333333,0.84,0.72,0.6,0.84,0.24,0.6777777777777778,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,304.0,303.78,303.93,303.8,306.86,304.0,303.85,304.0,304.99,304.51,307.84,301.2,301.2
Village,Kerry,Ballylongford,0.66,0.7,0.76,0.62,0.64,0.8,0.38,0.6666666666666666,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,304.0,302.35,302.21,302.32,294.4,304.0,302.39,303.0,303.21,303.16,304.69,303.85,303.85
Village,Westmeath,Ballynacargy,0.62,0.65,0.86,0.7,0.64,0.86,0.3,0.6444444444444445,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,303.0,303.37,303.38,303.39,306.99,303.0,304.09,303.0,304.86,304.38,300.07,304.15,304.15
Village,Dublin,Sandymount,0.78,0.6666666666666666,0.74,0.56,0.76,0.86,0.28,0.6444444444444445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,303.0,306.5,306.29,306.47,289.47,303.0,302.77,290.0,301.1,302.04,298.14,303.45,303.45
Village,Roscommon,Lecarrow,0.74,0.6333333333333333,0.84,0.66,0.56,0.76,0.3,0.7333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,303.0,303.47,303.67,303.46,301.31,302.88,303.76,331.0,309.27,309.65,299.47,308.24,308.24
Large Town,Galway,Tuam,0.64,0.6833333333333333,0.78,0.76,0.52,0.8,0.4,0.6111111111111112,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,303.0,299.13,299.0,299.15,303.19,303.0,302.77,304.0,302.13,303.72,305.1,303.63,303.63
Village,Donegal,Kilcar,0.62,0.6833333333333333,0.8,0.52,0.64,0.78,0.34,0.7222222222222222,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,303.0,298.66,298.53,298.62,291.88,303.0,299.07,296.0,302.36,302.73,301.61,302.28,302.28
Small Town,Offaly,Banagher,0.7,0.7833333333333333,0.84,0.72,0.72,0.8,0.3,0.5111111111111111,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,303.0,304.58,304.66,304.63,308.77,303.0,306.55,297.0,305.72,305.58,308.44,304.03,304.03
Village,Tipperary,Puckane,0.8,0.6833333333333333,0.86,0.56,0.64,0.82,0.3,0.6444444444444445,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,303.0,305.09,305.09,305.09,299.8,303.0,303.73,299.0,303.52,303.56,306.09,302.12,302.12
Village,Cork,Berrings,0.74,0.6833333333333333,0.78,0.56,0.68,0.72,0.42,0.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,303.0,305.44,305.34,305.39,291.43,303.0,303.23,304.0,302.43,302.76,302.27,305.86,305.86
Village,Limerick,Ballyneety,0.66,0.6833333333333333,0.74,0.62,0.7,0.78,0.4,0.6555555555555556,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,302.0,302.77,302.58,302.72,291.97,302.0,301.77,303.0,301.58,301.59,302.75,304.72,304.72
Village,Cork,Carrigadrohid-Killardrish,0.72,0.6,0.68,0.68,0.66,0.84,0.28,0.6444444444444445,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,302.0,294.3,294.32,294.29,288.71,302.0,294.65,301.0,298.19,298.37,289.0,292.42,292.42
Village,Galway,Dunmore,0.66,0.7,0.66,0.72,0.64,0.7,0.44,0.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,302.0,302.89,302.61,302.82,289.61,302.0,302.23,299.0,299.29,300.14,292.04,299.74,299.74
Village,Waterford,Cappoquin,0.76,0.7,0.8,0.62,0.7,0.72,0.2,0.6777777777777778,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,302.0,298.92,298.82,298.9,296.78,302.0,297.57,299.0,302.42,302.1,304.51,302.44,302.44
Small Town,Kerry,Dingle,0.7,0.75,0.8,0.6,0.7,0.86,0.4,0.5555555555555556,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,302.0,304.92,304.89,304.92,298.9,323.13,304.28,297.0,299.6,300.21,305.1,302.72,302.72
Village,Longford,Legan,0.76,0.6333333333333333,0.86,0.56,0.7,0.76,0.32,0.6222222222222222,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,302.0,298.39,298.46,298.4,297.73,302.45,299.64,293.0,296.98,296.68,293.02,295.48,295.48
Large Urban Centre,Westmeath,Mullingar,0.76,0.6833333333333333,0.84,0.5,0.74,0.88,0.24,0.5666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,301.0,296.98,296.99,297.0,295.7,301.0,301.11,297.0,299.41,299.92,302.31,301.97,301.97
Village,Sligo,Drumcliffe Rathcormac,0.64,0.75,0.84,0.64,0.64,0.76,0.38,0.6111111111111112,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,301.0,301.5,301.64,301.52,303.13,301.0,301.23,304.0,303.46,302.34,306.74,302.75,302.75
